zone I=    21   J=    11  F=POINT
       3.247       3.802     -97.200
       2.939       4.045     -97.200
       2.612       4.263     -97.200
       2.270       4.455     -97.200
       1.913       4.619     -97.200
       1.545       4.755     -97.200
       1.167       4.862     -97.200
       0.782       4.938     -97.200
       0.392       4.985     -97.200
       0.000       5.000     -97.200
       5.000       0.000    -100.000
       4.985       0.392    -100.000
       4.938       0.782    -100.000
       4.862       1.167    -100.000
       4.755       1.545    -100.000
       4.619       1.913    -100.000
       4.455       2.270    -100.000
       4.263       2.612    -100.000
       4.045       2.939    -100.000
       3.802       3.247    -100.000
       3.536       3.536    -100.000
       3.247       3.802    -100.000
       2.939       4.045    -100.000
       2.612       4.263    -100.000
       2.270       4.455    -100.000
       1.913       4.619    -100.000
       1.545       4.755    -100.000
       1.167       4.862    -100.000
       0.782       4.938    -100.000
       0.392       4.985    -100.000
       0.000       5.000    -100.000
zone I=    21   J=    11  F=POINT
       5.000       0.000    -100.000
       4.985       0.392    -100.000
       4.938       0.782    -100.000
       4.862       1.167    -100.000
       4.755       1.545    -100.000
       4.619       1.913    -100.000
       4.455       2.270    -100.000
       4.263       2.612    -100.000
       4.045       2.939    -100.000
       3.802       3.247    -100.000
       3.536       3.536    -100.000
       3.247       3.802    -100.000
       2.939       4.045    -100.000
       2.612       4.263    -100.000
       2.270       4.455    -100.000
       1.913       4.619    -100.000
       1.545       4.755    -100.000
       1.167       4.862    -100.000
       0.782       4.938    -100.000
       0.392       4.985    -100.000
       0.000       5.000    -100.000
       4.950       0.000    -100.000
       4.935       0.388    -100.000
       4.889       0.774    -100.000
       4.813       1.156    -100.000
       4.708       1.530    -100.000
       4.573       1.894    -100.000
       4.410       2.247    -100.000
       4.221       2.586    -100.000
       4.005       2.910    -100.000
       3.764       3.215    -100.000
       3.500       3.500    -100.000
       3.215       3.764    -100.000
       2.910       4.005    -100.000
       2.586       4.221    -100.000
       2.247       4.410    -100.000
       1.894       4.573    -100.000
       1.530       4.708    -100.000
       1.156       4.813    -100.000
       0.774       4.889    -100.000
       0.388       4.935    -100.000
       0.000       4.950    -100.000
       4.800       0.000    -100.000
       4.785       0.377    -100.000
       4.741       0.751    -100.000
       4.667       1.121    -100.000
       4.565       1.483    -100.000
       4.435       1.837    -100.000
       4.277       2.179    -100.000
       4.093       2.508    -100.000
       3.883       2.821    -100.000
       3.650       3.117    -100.000
       3.394       3.394    -100.000
       3.117       3.650    -100.000
       2.821       3.883    -100.000
       2.508       4.093    -100.000
       2.179       4.277    -100.000
       1.837       4.435    -100.000
       1.483       4.565    -100.000
       1.121       4.667    -100.000
       0.751       4.741    -100.000
